id,node1,node2,distance
0,257943482,593898341,187.527
1,257943482,3023740033,77.82900000000001
2,257943483,607232820,150.259
3,257943483,607232832,78.28500000000001
4,257943483,7792325685,194.93099999999998
5,257943483,7792325687,532.765
6,257943488,608336570,60.952
7,257943488,608328399,11.016
8,257943488,607233930,151.901
9,257946389,589643101,121.86
10,257946393,257946389,145.588
11,257946393,1843209613,121.659
12,257946397,589643195,144.894
13,257946397,607233344,69.203
14,257946397,607233118,111.61
15,257946400,257946401,57.401
16,257946400,746786886,222.352
17,257946401,331596103,149.151
18,257946401,548746518,118.42
19,301455182,611484245,12.393
20,301455182,4343408400,72.286
21,301455186,611484233,28.512999999999998
22,301455189,592287531,35.855
23,301455189,317337921,13.015
24,301457497,4224818787,8.224
25,301457497,608442019,13.358
26,301457497,1273842380,118.196
27,309580951,608411455,114.123
28,309580951,608410175,42.823
29,309580951,474873087,141.006
30,309581430,317338176,81.70400000000001
31,309581430,309581432,119.602
32,309581432,593898396,64.715
33,309581432,607235531,213.152
34,309581436,317338171,117.412
35,309581436,1843209611,64.045
36,316802214,331597611,84.648
37,316802214,331597613,56.113
38,316802224,589642550,372.32
39,316802232,1451644706,17.187
40,316802232,2991672873,61.410000000000004
41,316802235,589642520,18.445999999999998
42,316802235,2166157456,49.005
43,316802435,316802232,30.644000000000002
44,316802435,589642541,466.40000000000003
45,316802448,462979629,13.461
46,316802448,462972817,80.518
47,316802453,316802454,18.947
48,316802454,2397205844,35.747
49,316802454,607236269,36.452000000000005
50,316802674,548732884,63.678
51,316802674,316802709,16.709
52,316802709,3724784409,90.612
53,316802709,380945456,104.789
54,316802709,380945444,75.42399999999999
55,316802714,316802801,15.138
56,316802714,316802715,189.155
57,316802715,316802716,123.094
58,316802715,606937238,51.212999999999994
59,316802716,606937356,50.396
60,316802716,606937223,53.826
61,316802800,316802715,14.627
62,316802800,316802801,186.94299999999998
63,316802801,605041187,65.105
64,316802801,593898389,70.743
65,316802802,605041189,62.921
66,316802802,316802674,263.207
67,316802849,649999455,49.94499999999999
68,316803089,2054187127,4.574
69,316803089,660656213,47.324
70,316803090,1832795830,52.546
71,316803090,670349075,132.964
72,316803311,874898875,157.162
73,316803311,874898938,59.78
74,316803496,1836213617,174.003
75,316803496,4336221944,12.635
76,316803496,1836204826,58.824
77,317337153,4332672411,13.937999999999999
78,317337153,317337531,119.46199999999999
79,317337272,317337577,44.536
80,317337272,317337572,12.826
81,317337272,1273983950,63.628
82,317337277,475477111,61.271
83,317337277,1273580248,14.315999999999999
84,317337277,474879837,127.59
85,317337473,5728906441,23.405
86,317337476,474879685,51.531
87,317337476,474879749,146.28900000000002
88,317337478,4337702896,8.159
89,317337486,1842988776,7.767
90,317337486,317337478,12.311
91,317337491,474879709,57.132
92,317337491,1834944597,71.701
93,317337492,4220087156,47.692
94,317337492,4041865281,113.38300000000001
95,317337496,5728906441,11.228
96,317337531,1273580248,29.936
97,317337572,317337272,12.826
98,317337576,475477475,59.743
99,317337576,1273658188,227.63099999999997
100,317337577,4331445591,10.982
101,317337577,317337277,153.39
102,317337580,4224818803,80.559
103,317337580,317337723,35.519999999999996
104,317337723,331596108,14.522
105,317337723,2114005508,71.143
106,317337724,317337823,174.189
107,317337724,746787154,56.597
108,317337727,317337750,39.255
109,317337727,4337589731,132.869
110,317337732,4139638815,9.884
111,317337732,10011691220,74.133
112,317337750,317337751,12.09
113,317337750,317337890,132.861
114,317337751,317337823,44.364000000000004
115,317337751,317337753,63.515
116,317337753,1273972470,60.614
117,317337753,317337756,119.12599999999999
118,317337756,5437755529,56.276
119,317337756,2166203829,117.739
120,317337758,5437755530,55.557
121,317337758,1403237269,51.597
122,317337759,1181353066,15.293
123,317337759,6495435022,102.271
124,317337819,1403237267,53.703
125,317337819,317337890,11.225
126,317337819,317337751,128.345
127,317337819,746787342,63.949
128,317337823,317337727,11.094
129,317337823,317337826,53.844
130,317337826,317337887,12.034
131,317337826,6295032956,217.377
132,317337826,746787182,50.565999999999995
133,317337831,317337884,12.658
134,317337831,746787180,54.056
135,317337831,746787185,129.60500000000002
136,317337835,746787178,55.284
137,317337835,10691273528,53.257
138,317337878,1181353069,13.334
139,317337878,317337931,28.472
140,317337884,1834912738,54.365
141,317337884,317337831,12.658
142,317337884,1273688685,211.231
143,317337887,317337826,12.034
144,317337887,317337727,54.482
145,317337887,1834912733,59.025999999999996
146,317337890,317337819,11.225
147,317337890,10681621804,13.266
148,317337916,607236164,28.137
149,317337916,317337920,67.65299999999999
150,317337916,607236517,39.723
151,317337920,4346571272,15.171
152,317337921,301455189,13.015
153,317337921,746787332,42.512
154,317337921,317337922,52.349
155,317337922,317337923,49.431
156,317337923,746787331,50.112
157,317337923,4346601317,62.55
158,317337927,746787330,56.040000000000006
159,317337927,317337931,125.928
160,317337931,592287606,12.424
161,317337931,746787329,47.674
162,317337941,611484206,12.428999999999998
163,317337941,4041852511,35.373
164,317337956,10011691220,10.271
165,317337956,5818969935,100.03800000000001
166,317337966,494493621,7.243
167,317337966,317337956,249.019
168,317337967,650004933,172.66899999999998
169,317337967,494493621,75.125
170,317337971,317337972,31.159000000000006
171,317337971,650004727,74.747
172,317337971,611484210,284.33000000000004
173,317337972,589642708,18.494
174,317337972,4041865391,195.40000000000003
175,317338061,589642628,12.688
176,317338061,3962693284,13.578
177,317338061,3962693283,24.309
178,317338169,257946393,117.58
179,317338169,317338170,93.324
180,317338170,1843209611,117.476
181,317338170,317338171,63.512
182,317338170,317338169,93.324
183,317338170,4172109232,116.769
184,317338171,317338170,63.512
185,317338171,4190293797,187.677
186,317338171,605041191,52.442
187,317338174,309581432,98.938
188,317338174,605041226,230.171
189,317338174,317338176,134.92600000000002
190,317338176,607236072,65.049
191,317338176,317338174,134.926
192,317338176,317338180,252.714
193,317338180,607236043,64.798
194,317338180,317338176,252.714
195,317338180,589642694,61.962
196,331596103,2166218025,45.087
197,331596105,331596288,33.945
198,331596105,4346609884,89.149
199,331596108,746786918,30.357
200,331596108,317337759,43.039
201,331596284,1842988781,7.048
202,331596284,331596285,48.952
203,331596285,2166203841,14.021
204,331596285,475477148,58.856
205,331596287,548759596,166.862
206,331596287,331596292,81.03399999999999
207,331596288,4224818799,11.402
208,331596288,4158625094,37.394
209,331596292,548745860,22.899
210,331596292,548759596,138.448
211,331597610,606937112,59.459
212,331597610,4343408399,17.552
213,331597610,611484239,139.167
214,331597611,331597610,64.193
215,331597613,462980385,19.778
216,331597613,331597611,52.171
217,331597615,331597613,68.861
218,331597615,316802453,55.425999999999995
219,331597619,607234709,217.13299999999998
220,331597619,607234469,77.513
221,331597623,607234620,77.31099999999999
222,331597623,331597619,185.498
223,380945444,606936975,79.77799999999999
224,380945444,380945447,106.736
225,380945447,380945456,74.368
226,380945447,380945451,89.232
227,380945451,548738351,52.091
228,380945451,548737131,50.851
229,380945456,548736076,94.6
230,380988075,1829377371,203.16000000000003
231,380988075,380988092,62.562
232,380988075,1829377372,65.99000000000001
233,380988092,380988075,62.562
234,380988092,1829377363,56.235
235,380988092,1273541734,106.324
236,380988106,1829377363,26.078
237,380988106,1368340888,104.845
238,380988122,4337702901,35.56
239,409484474,605041192,53.654
240,409484474,548741400,59.809
241,409484474,2726174139,135.281
242,462972817,331597615,20.425
243,462972817,301455186,40.569
244,462973799,316802453,103.671
245,462973799,331597615,89.17099999999999
246,462979629,301455186,89.75500000000001
247,462979629,611484212,163.66400000000002
248,462980385,462972817,69.157
249,462980385,316802849,73.807
250,474873087,607232862,187.307
251,474873087,309580951,141.006
252,474873087,474873137,139.877
253,474873137,607233477,199.628
254,474873137,474873201,147.737
255,474873137,474873087,139.877
256,474873201,474873203,154.357
257,474873201,474873270,309.512
258,474873201,474873137,147.73700000000002
259,474873203,7792325687,211.118
260,474873203,607233477,158.79200000000003
261,474873270,7792325688,143.129
262,474873270,607233195,119.208
263,474873270,608362281,49.373
264,474873270,474873201,309.51200000000006
265,474878823,610684162,65.514
266,474879545,380988122,7.616
267,474879545,1843155256,8.875
268,474879546,475476851,50.886
269,474879546,474879657,95.212
270,474879546,474879685,51.317
271,474879580,1175765858,127.06
272,474879580,3354328563,44.809
273,474879580,475477119,181.59099999999998
274,474879580,3350756526,61.58
275,474879581,1842988779,7.918
276,474879581,4337745395,78.25
277,474879624,4041865282,39.975
278,474879624,1175765858,52.244
279,474879625,475477111,65.297
280,474879625,3350756526,51.11
281,474879625,475477532,105.49300000000001
282,474879655,1829377356,49.787
283,474879655,474879710,191.12
284,474879657,474879686,55.531
285,474879657,474879546,95.212
286,474879657,474879749,49.509
287,474879685,475476674,115.145
288,474879685,474879546,51.317
289,474879686,475476850,51.906
290,474879686,475477119,88.119
291,474879686,474879657,55.531
292,474879709,317337492,28.332
293,474879709,1829377356,13.185
294,474879710,474879749,53.021
295,474879710,474879655,197.27200000000005
296,474879710,1829377356,141.333
297,474879749,474879657,49.509
298,474879749,474879710,53.021
299,474879749,317337476,146.28900000000002
300,474879837,4332672411,22.723
301,474879837,474879894,128.13600000000002
302,474879842,1175765858,56.7
303,474879894,474879837,128.136
304,475476674,1834944598,12.565
305,475476674,1842988777,200.762
306,475476676,475476749,66.582
307,475476676,1834944598,74.761
308,475476676,1834944597,133.047
309,475476728,475476747,67.553
310,475476728,475476745,65.219
311,475476745,475476728,65.219
312,475476745,7070680189,26.833
313,475476747,475476749,56.677
314,475476747,475476728,67.553
315,475476747,8234459405,67.67
316,475476749,475476676,66.582
317,475476749,475476747,56.677
318,475476816,1834944600,80.85799999999999
319,475476850,474879686,51.906
320,475476850,475476851,150.572
321,475476850,1273632542,51.697
322,475476851,474879546,50.886
323,475476851,1273492525,51.903
324,475476851,475476850,150.572
325,475476859,1273632542,52.718
326,475476859,475477030,102.964
327,475476859,1273492525,96.414
328,475476906,475477030,51.499
329,475476906,1273842885,94.664
330,475476906,1273564211,53.574
331,475477030,475476906,51.499
332,475477030,475476859,102.964
333,475477030,1273837300,95.366
334,475477111,474879625,65.297
335,475477111,317337277,61.271
336,475477111,3350756525,49.512
337,475477111,4332689687,103.40299999999999
338,475477113,475477532,61.006
339,475477113,475477140,56.616
340,475477113,475477118,72.252
