id,X,Y
257943482,-77.0935035,-12.0869617
257943483,-77.0953946,-12.0860982
257943488,-77.0994245,-12.0763946
257946389,-77.0885903,-12.0877139
257946393,-77.0880272,-12.086526
257946397,-77.0959274,-12.0829187
257946400,-77.097742,-12.0752241
257946401,-77.0982145,-12.0749939
301455182,-77.0792273,-12.0786302
301455186,-77.082075,-12.0780973
301455189,-77.0903583,-12.0779303
301457497,-77.1025775,-12.0729014
309580951,-77.102937,-12.0798365
309581430,-77.0857508,-12.0816311
309581432,-77.0861839,-12.0826194
309581436,-77.0874112,-12.0852468
316802214,-77.08133,-12.0787986
316802224,-77.0793527,-12.0745774
316802232,-77.0779232,-12.070418
316802235,-77.0777313,-12.0684224
316802435,-77.0780396,-12.0701703
316802448,-77.0814309,-12.0774376
316802453,-77.0818228,-12.0787684
316802454,-77.0817707,-12.078931
316802674,-77.0838251,-12.0868897
316802709,-77.0836865,-12.0869546
316802714,-77.0825714,-12.0835999
316802715,-77.0822626,-12.0819258
316802716,-77.0820526,-12.080838
316802800,-77.0823954,-12.0819048
316802801,-77.0827041,-12.0835587
316802802,-77.0829587,-12.0846813
316802849,-77.0809219,-12.0775223
316803089,-77.0757414,-12.0709119
316803090,-77.0722837,-12.0716789
316803092,-77.0694503,-12.0722013
316803311,-77.0742699,-12.071142
316803496,-77.0755507,-12.0679589
317337153,-77.1042043,-12.0657774
317337272,-77.1041481,-12.0688842
317337277,-77.1039463,-12.0671179
317337473,-77.1042974,-12.0647188
317337476,-77.1007482,-12.0643469
317337478,-77.0972977,-12.0643594
317337486,-77.0972926,-12.0642488
317337491,-77.1007307,-12.0642254
317337492,-77.1015132,-12.0642972
317337496,-77.104108,-12.064577
317337531,-77.1040861,-12.0668452
317337572,-77.1042618,-12.0688535
317337576,-77.1014394,-12.068824
317337577,-77.1040797,-12.0684893
317337580,-77.0984656,-12.0695243
317337723,-77.0981408,-12.0695583
317337724,-77.0932221,-12.070119
317337727,-77.0916399,-12.0707327
317337732,-77.0868861,-12.0730237
317337750,-77.0915212,-12.0703993
317337751,-77.0916015,-12.0703241
317337753,-77.0921137,-12.0700544
317337756,-77.0931643,-12.0697536
317337758,-77.0946539,-12.0695729
317337759,-77.0978866,-12.0692037
317337819,-77.0913069,-12.0692066
317337823,-77.0917365,-12.0707006
317337826,-77.0918613,-12.0711692
317337831,-77.0921544,-12.0740862
317337835,-77.0929246,-12.0762426
317337878,-77.0933039,-12.0773419
317337884,-77.0920388,-12.0740996
317337887,-77.0917583,-12.0712088
317337890,-77.0912113,-12.0692447
317337916,-77.088743,-12.0776937
317337920,-77.0893398,-12.0778078
317337921,-77.0903524,-12.0778134
317337922,-77.0908335,-12.0777956
317337923,-77.0912846,-12.0777405
317337927,-77.0921474,-12.0775775
317337931,-77.0932004,-12.0771067
317337941,-77.0885065,-12.0779591
317337956,-77.087036,-12.073683
317337966,-77.0848502,-12.0743376
317337967,-77.0850062,-12.0750622
317337971,-77.0851929,-12.0777457
317337972,-77.0851953,-12.0780259
317338061,-77.0837768,-12.0745324
317338169,-77.0870468,-12.0869722
317338170,-77.086682,-12.0862125
317338171,-77.0864337,-12.0856955
317338174,-77.0853161,-12.082883
317338176,-77.0850036,-12.0817087
317338180,-77.0846321,-12.0794656
331596103,-77.0989891,-12.0739019
331596105,-77.0990764,-12.0731318
331596108,-77.098008,-12.0695721
331596284,-77.0975166,-12.0673428
331596285,-77.0976017,-12.0677751
331596287,-77.0997857,-12.0734362
331596288,-77.0993383,-12.073036
331596292,-77.1001129,-12.0740615
331597610,-77.0800814,-12.0785361
331597611,-77.0806599,-12.078421
331597613,-77.0811315,-12.0783346
331597615,-77.0817626,-12.078283
331597619,-77.0912113,-12.0780229
331597623,-77.0928796,-12.0776884
380945444,-77.0830631,-12.0872521
380945447,-77.0826794,-12.0863694
380945451,-77.0823022,-12.0856567
380945456,-77.0833012,-12.0860908
380988075,-77.0932749,-12.0671838
380988092,-77.0936329,-12.0667448
380988106,-77.0942419,-12.0663093
380988122,-77.0971947,-12.0647588
409484474,-77.0844757,-12.0855351
462972817,-77.0817021,-12.0781091
462973799,-77.0825822,-12.0782559
462979629,-77.0815363,-12.0775011
462980385,-77.0810689,-12.0781676
474873087,-77.1034728,-12.0809913
474873137,-77.1023088,-12.0815269
474873201,-77.1010739,-12.0820806
474873203,-77.1016327,-12.0833565
474873270,-77.0984814,-12.0832301
474878823,-77.1042371,-12.0739413
474879545,-77.0971984,-12.0648272
474879546,-77.1002766,-12.0648082
474879580,-77.1027748,-12.0661365
474879581,-77.0973816,-12.0661711
474879624,-77.1028998,-12.0645287
474879625,-77.1027828,-12.0671499
474879655,-77.101702,-12.0644277
474879657,-77.1002937,-12.0656643
474879685,-77.1002743,-12.0643467
474879686,-77.1002946,-12.0661637
474879709,-77.101254,-12.0642713
474879710,-77.1012366,-12.0656606
474879749,-77.100749,-12.0656625
474879837,-77.1040446,-12.065975
474879842,-77.1033874,-12.0650684
474879894,-77.1033409,-12.0654319
475476674,-77.0992154,-12.0643417
475476676,-77.0996259,-12.0637657
475476728,-77.0982551,-12.0633592
475476745,-77.0976583,-12.0633009
475476747,-77.0988729,-12.063423
475476749,-77.0993548,-12.0632288
475476816,-77.1037262,-12.0637854
475476850,-77.0998173,-12.0661701
475476851,-77.0998087,-12.064816
475476859,-77.0993432,-12.0656789
475476906,-77.0979227,-12.065678
475477030,-77.0983963,-12.0656783
475477111,-77.103383,-12.0671315
475477113,-77.1012592,-12.0672958
475477117,-77.0980725,-12.0666873
475477118,-77.1011905,-12.0666495
475477119,-77.1011049,-12.0661529
475477140,-77.1013264,-12.0678007
475477145,-77.0993753,-12.068028
475477148,-77.097735,-12.0682881
475477205,-77.1007097,-12.0666534
475477208,-77.1008316,-12.0678619
475477209,-77.1002463,-12.0666571
475477234,-77.1003374,-12.067923
475477235,-77.0997485,-12.0666612
475477377,-77.0998561,-12.0679817
475477434,-77.0992678,-12.0666651
475477437,-77.0994997,-12.0690336
475477445,-77.0982156,-12.0681558
475477447,-77.0985176,-12.066671
475477474,-77.0986846,-12.0681044
475477475,-77.1013702,-12.068291
475477496,-77.0979443,-12.0687098
475477524,-77.1033964,-12.0664145
475477532,-77.1018159,-12.0672277
475477551,-77.1021046,-12.0677388
475477793,-77.0989672,-12.0719208
475477808,-77.1017886,-12.0691574
475477809,-77.1018511,-12.069796
475477812,-77.1021488,-12.0707871
475477822,-77.1012569,-12.069215
475477825,-77.1016326,-12.0709521
475477829,-77.1007872,-12.0692659
475477832,-77.1011866,-12.0711075
475477857,-77.0990533,-12.0700824
475477863,-77.1012657,-12.0727297
475477867,-77.1005732,-12.0713518
475477869,-77.1016808,-12.0735181
475477875,-77.1000702,-12.0715482
475477876,-77.1007396,-12.072934
475477885,-77.1004763,-12.0724183
475477890,-77.0999881,-12.0726695
475477895,-77.1020207,-12.0717711
475477896,-77.1010114,-12.0722387
475477901,-77.1015064,-12.0720094
475477916,-77.102072,-12.073153
475477917,-77.1031079,-12.0690143
475477918,-77.1034387,-12.0703941
475477943,-77.1042557,-12.0693394
475477944,-77.1032348,-12.0695163
